RR197001	Female
RR197002	Female
RR197003	Male
RR197004	Female
RR197007	Male
RR197008	Male
RR197010	Female
RR197011	Female
RR197012	Female
RR197013	Male
RR197014	Male
RR197015	Male
RR197018	Male
RR197020	Female
RR197021	Male
RR197022	Female
RR197023	Female
RR197024	Male
RR197028	Female
RR197005	Male
RR197006	Female
RR197016	Female
RR197017	Male
RR197025	Male
RR197026	Male
RR197029	Female
RR197030	Male
RR197031	Male
RR197032	Male
RR197035	Male
RR197034	Male
RR197033	Female
RR197036	Female
RR197037	Male
RR197038	Male
RR197039	Male
RR197041	Male
RR197048	Male
RR197047	Male
RR197044	Male
RR197042	Female
RR197040	Male
RR197046	Female
RR197045	Male
RR197043	Female
RR197053	Female
RR197027	Male
RR197049	Female
RR197050	Female
RR197051	Male
RR197052	Female
RR197054	Female
RR197055	Female
RR197056	Male
RR197057	Male
RR197058	Female
RR197059	Female
RR197060	Female
RR197061	Male
RR197062	Female
RR197063	Male
RR197064	Male
RR197065	Female
RR197066	Male
RR197067	Female
RR197068	Female
RR197069	Male
RR197070	Female
RR197071	Male
RR197072	Male
RR197073	Female
RR197074	Male
RR197075	Male
RR197076	Male
RR197077	Female
RR197079	Male
RR197080	Male
RR197078	Male
RR197085	Male
RR197089	Male
RR197091	Female
RR197092	Female
RR197093	Male
RR197094	Female
RR197095	Female
RR197096	Male
RR197097	Male
RR197098	Female
RR197099	Female
RR197100	Male
RR197101	Female
RR197102	Male
RR197103	Male
RR197104	Male
RR197105	Male
RR197106	Female
RR197081	Male
RR197082	Female
RR197083	Male
RR197084	Female
RR197086	Female
RR197088	Male
RR197087	Male
RR197090	Male
RR197107	Male
RR197108	Male
RR197109	Female
RR197110	Female
RR197111	Female
RR197112	Female
RR197113	Male
RR197114	Female
RR197116	Female
RR197117	Female
RR197118	Female
RR197119	Female
RR197120	Female
RR197121	Female
RR197123	Female
RR197115	Male
RR197122	Male
RR197124	Male
RR197125	Female
RR197127	Female
RR197126	Male
RR197128	Female
RR197129	Female
RR197130	Male
RR197131	Male
RR197132	Male
RR197133	Female
RR197134	Male
RR197135	Female
RR197136	Female
RR197137	Female
RR197138	Female
RR197139	Female
RR197140	Male
RR197141	Female
RR197142	Female
RR197143	Male
RR197144	Female
RR197145	Male
RR197146	Female
